instructor_id,first_name,last_name,primary_color_id,secondary_color_id,primary_style_id,secondary_style_id,is_team_captain,can_teach_babies,can_teach_adults,can_teach_adapted,used_default_profile,profile_source
1,Danielle,Johnson,1,3,3,2,0,0,0,0,0,0
2,Joshua,Walker,4,1,1,6,0,0,1,1,0,0
3,Jill,Rhodes,4,1,4,5,0,0,0,1,0,0
4,Patricia,Miller,3,1,2,3,0,1,1,0,0,0
5,Robert,Johnson,1,3,4,5,0,0,1,0,0,0
6,Jeffery,Wagner,3,4,2,1,1,1,1,1,0,0
7,Anthony,Gonzalez,1,2,3,4,0,1,1,1,0,0
8,Debra,Gardner,1,3,6,2,0,1,0,0,0,0
9,Jeffrey,Lawrence,,,,,0,1,1,0,1,1
10,Lisa,Smith,1,2,4,3,1,0,0,0,0,0
11,Linda,Wolfe,4,2,6,4,0,1,0,0,0,0
12,Matthew,Moore,4,3,4,3,0,0,0,1,0,0
13,Susan,Rogers,1,4,6,2,0,0,1,0,0,0
14,Christopher,Davis,,,,,0,0,0,1,1,1
15,Melanie,Munoz,3,4,3,1,0,1,1,0,0,0
16,Lindsay,Blair,2,3,1,3,0,0,1,0,0,0
17,Amanda,Dudley,1,3,3,4,1,0,0,0,0,0
18,Nicholas,Arnold,1,4,5,1,1,0,1,0,0,0
19,Maria,Montgomery,2,3,4,5,0,0,0,0,0,0
20,Michelle,Ray,,,,,0,0,0,0,1,1
21,Janet,Williams,3,2,5,4,0,1,1,0,0,0
22,Jeremy,Roberts,2,1,1,6,0,0,0,1,0,0
23,Christopher,Hall,4,1,5,2,0,0,0,1,0,0
24,Craig,Ramirez,4,1,1,6,0,1,0,0,0,0
25,Cynthia,Diaz,1,4,4,3,0,1,1,0,0,0
